H73E0,珠,주
H73ED,班,반
H73FE,現,현
H7403,球,구
H7406,理,리
H7434,琴,금
H74B0,環,환
H74E6,瓦,와
H7518,甘,감
H751A,甚,심
H751F,生,생
H7523,産,산
H7528,用,용
H7530,田,전
H7531,由,유
H7532,甲,갑
H7533,申,신
H7537,男,남
H754C,界,계
H754F,畏,외
H7553,畓,답
H7559,留,류
H755C,畜,축
H7562,畢,필
H7565,略,략
H756A,番,번
H756B,畫,화
H7570,異,이
H7576,當,당
H757F,畿,기
H758F,疏,소
H7591,疑,의
H75AB,疫,역
H75B2,疲,피
H75BE,疾,질
H75C5,病,병
H75C7,症,증
H75DB,痛,통
H7678,癸,계
H767B,登,등
H767C,發,발
H767D,白,백
H767E,百,백
H7684,的,적
H7686,皆,개
H7687,皇,황
H76AE,皮,피
H76CA,益,익
H76DB,盛,성
H76DC,盜,도
H76DF,盟,맹
H76E1,盡,진
H76E3,監,감
H76E4,盤,반
H76EE,目,목
H76F2,盲,맹
H76F4,直,직
H76F8,相,상
H7701,省,성
H7709,眉,미
H770B,看,간
H771E,眞,진
H7720,眠,면
H773C,眼,안
H7740,着,착
H7761,睡,수
H7763,督,독
H7766,睦,목
H77AC,瞬,순
H77E2,矢,시
H77E3,矣,의
H77E5,知,지
H77ED,短,단
H77EF,矯,교
H77F3,石,석
H7832,砲,포
H7834,破,파
H784F,硏,연
H786C,硬,경
H7891,碑,비
H78A7,碧,벽
H78BA,確,확
H78E8,磨,마
H790E,礎,초
H793A,示,시
H793E,社,사
H7940,祀,사
H7948,祈,기
H7955,祕,비
H7956,祖,조
H795D,祝,축
H795E,神,신
H7965,祥,상
H7968,票,표
H796D,祭,제
H797F,祿,록
H7981,禁,금
H798D,禍,화
H798F,福,복
H79AA,禪,선
H79AE,禮,례
H79BD,禽,금
H79BE,禾,화
H79C0,秀,수
H79C1,私,사
H79CB,秋,추
H79D1,科,과
H79D2,秒,초
H79DF,租,조
H79E9,秩,질
H79FB,移,이
H7A00,稀,희
H7A05,稅,세
H7A0B,程,정
H7A1A,稚,치
H7A2E,種,종
H7A31,稱,칭
H7A3B,稻,도
H7A3F,稿,고
H7A40,穀,곡
H7A4D,積,적
H7A6B,穫,확
H7A74,穴,혈
H7A76,究,구
H7A7A,空,공
H7A81,突,돌
H7A93,窓,창
H7AAE,窮,궁
H7ACA,竊,절
H7ACB,立,립
H7ADD,竝,병
H7ADF,竟,경
H7AE0,章,장
H7AE5,童,동
H7AEF,端,단
H7AF6,競,경
H7AF9,竹,죽
H7B11,笑,소
H7B1B,笛,적
H7B26,符,부
H7B2C,第,제
H7B46,筆,필
H7B49,等,등
H7B4B,筋,근
H7B54,答,답
H7B56,策,책
H7B97,算,산
H7BA1,管,관
H7BC0,節,절
H7BC4,範,범
H7BC7,篇,편
H7BC9,築,축
H7BE4,篤,독
H7C21,簡,간
H7C3F,簿,부
H7C4D,籍,적
H7C73,米,미
H7C89,粉,분
H7C9F,粟,속
H7CA7,粧,장
H7CBE,精,정
H7CD6,糖,당
H7CE7,糧,량
H7CFB,系,계
H7CFE,糾,규
H7D00,紀,기
H7D04,約,약
H7D05,紅,홍
H7D0B,紋,문
H7D0D,納,납
H7D14,純,순
H7D19,紙,지
H7D1A,級,급
H7D1B,紛,분
H7D20,素,소
H7D22,索,색
H7D2B,紫,자
H7D2F,累,루
H7D30,細,세
H7D42,終,종
H7D43,絃,현
H7D44,組,조
H7D50,結,결
H7D55,絕,절
H7D61,絡,락
H7D66,給,급
H7D71,統,통
H7D72,絲,사
H7D79,絹,견
H7D93,經,경
H7DA0,綠,록
H7DAD,維,유
H7DB1,綱,강
H7DBF,綿,면
H7DCA,緊,긴
H7DD6,緖,서
H7DDA,線,선
H7DE3,緣,연
H7DE8,編,편
H7DE9,緩,완
H7DEF,緯,위
H7DF4,練,련
H7E23,縣,현
H7E2E,縮,축
H7E31,縱,종
H7E3D,總,총
H7E3E,績,적
H7E41,繁,번
H7E54,織,직
H7E6B,繫,계
H7E7C,繼,계
H7E8C,續,속
H7F3A,缺,결
H7F54,罔,망
H7F6A,罪,죄
H7F6E,置,치
H7F70,罰,벌
H7F72,署,서
H7F77,罷,파
H7F85,羅,라
H7F8A,羊,양
H7F8E,美,미
H7FA4,群,군
H7FA9,義,의
H7FBD,羽,우
H7FC1,翁,옹
H7FD2,習,습
H7FFC,翼,익
H8001,老,로
H8003,考,고
H8005,者,자
H800C,而,이
H8010,耐,내
H8015,耕,경
H8033,耳,이
H8036,耶,야
H8056,聖,성
H8058,聘,빙
H805E,聞,문
H806F,聯,련
H8070,聰,총
H8072,聲,성
H8077,職,직
H807D,聽,청
H8085,肅,숙
H8089,肉,육
H8096,肖,초
H809D,肝,간
H80A5,肥,비
H80A9,肩,견
H80AF,肯,긍
H80B2,育,육
H80BA,肺,폐
H80C3,胃,위
H80CC,背,배
H80DE,胞,포
H80E1,胡,호
H80F8,胸,흉
H80FD,能,능
H8105,脅,협
H8108,脈,맥
H811A,脚,각
H8123,脣,순
H812B,脫,탈
H8150,腐,부
H8166,腦,뇌
H8170,腰,요
H8178,腸,장
H8179,腹,복
H81DF,臟,장
H81E3,臣,신
H81E5,臥,와
H81E8,臨,림
H81EA,自,자
H81ED,臭,취
H81F3,至,지
H81F4,致,치
H81FA,臺,대
H8207,與,여
H8208,興,흥
H820A,舊,구
H820C,舌,설
H820D,舍,사
H821E,舞,무
H821F,舟,주
H822A,航,항
H822C,般,반
H8239,船,선
H826F,良,량
H8272,色,색
H82B1,花,화
H82B3,芳,방
H82BD,芽,아
H82D7,苗,묘
H82DF,苟,구
H82E5,若,약
H82E6,苦,고
H82F1,英,영
H8302,茂,무
H832B,茫,망
H8332,茲,자
H8336,茶,다
H8349,草,초
H8352,荒,황
H8377,荷,하
H838A,莊,장
H83AB,莫,막
H83CA,菊,국
H83CC,菌,균
H83DC,菜,채
H83EF,華,화
H842C,萬,만
H843D,落,락
H8449,葉,엽
H8457,著,저
H846C,葬,장
H8499,蒙,몽
H84B8,蒸,증
H84BC,蒼,창
H84C4,蓄,축
H84CB,蓋,개
H84EE,蓮,련
H852C,蔬,소
H853D,蔽,폐
H8584,薄,박
H85A6,薦,천
H85CF,藏,장
H85DD,藝,예
H85E5,藥,약
H8607,蘇,소
H862D,蘭,란
H864E,虎,호
H8655,處,처
H865B,虛,허
H865F,號,호
H86C7,蛇,사
H8702,蜂,봉
H871C,蜜,밀
H8776,蝶,접
H87A2,螢,형
H87F2,蟲,충
H8840,血,혈
H8846,衆,중
H884C,行,행
H8853,術,술
H8857,街,가
H885B,衛,위
H885D,衝,충
H8861,衡,형
H8863,衣,의
H8868,表,표
H88AB,被,피
H88C1,裁,재
H88C2,裂,렬
H88CF,裏,리
H88D5,裕,유
H88DC,補,보
H88DD,裝,장
H88F3,裳,상
H88FD,製,제
H8907,複,복
H8972,襲,습
H897F,西,서
H8981,要,요
H8986,覆,복
H898B,見,견
H898F,規,규
H8996,視,시
H89AA,親,친
H89BA,覺,각
H89BD,覽,람
H89C0,觀,관
H89D2,角,각
H89E3,解,해
H89F8,觸,촉
H8A00,言,언
H8A02,訂,정
H8A08,計,계
H8A0E,討,토
H8A13,訓,훈
H8A18,記,기
H8A1F,訟,송
H8A23,訣,결
H8A2A,訪,방
H8A2D,設,설
H8A31,許,허
H8A34,訴,소
H8A50,詐,사
H8A55,評,평
H8A5E,詞,사
H8A60,詠,영
